Product_Supermarket_Identifier,Product_Supermarket_Sales
FDY57_CHUKWUDI013,3846.0137420399114
FDY10_CHUKWUDI018,4462.060361786187
FDO40_CHUKWUDI018,5712.957261532369
NCQ43_CHUKWUDI018,3959.858404756051
NCC07_CHUKWUDI046,4495.863776299482
FDK27_CHUKWUDI019,1012.1751713103139
DRJ39_CHUKWUDI027,13522.8510637002
FDZ16_CHUKWUDI035,7924.6579887712
FDD21_CHUKWUDI018,4272.681207646865
FDQ12_CHUKWUDI019,1780.23894281001
FDH35_CHUKWUDI045,6679.151964964881
FDP51_CHUKWUDI018,4743.644286765947
FDD10_CHUKWUDI045,7471.532155331674
FDB23_CHUKWUDI045,9321.068083325325
FDK41_CHUKWUDI013,3240.2893714364395
NCX18_CHUKWUDI035,7963.196121168362
FDO60_CHUKWUDI010,321.73932538437634
NCW29_CHUKWUDI013,5105.620832582354
DRD13_CHUKWUDI013,2664.425769222478
FDU44_CHUKWUDI018,6051.989770998001
FDD09_CHUKWUDI018,6649.735423837973
NCO29_CHUKWUDI017,6572.445717589623
FDS57_CHUKWUDI017,5554.157619699556
FDW21_CHUKWUDI046,4424.633726167372
FDV26_CHUKWUDI019,1333.2593393543932
NCJ43_CHUKWUDI017,7146.004821365993
FDF34_CHUKWUDI017,7228.798991633988
FDK33_CHUKWUDI035,9357.942535061891
FDO34_CHUKWUDI027,9516.096407476825
FDE24_CHUKWUDI018,4870.420486512145
NCR38_CHUKWUDI035,10350.182441649788
FDV21_CHUKWUDI010,1012.1751713103139
DRL35_CHUKWUDI013,2335.945147404592
FDM39_CHUKWUDI018,6758.809999344868
DRH01_CHUKWUDI045,7382.335374453408
FDX34_CHUKWUDI049,5020.8218362256885
DRB01_CHUKWUDI049,7994.019234773133
FDD05_CHUKWUDI046,5297.524750456743
FDN31_CHUKWUDI049,7843.512215163831
FDW12_CHUKWUDI027,9630.847224822099
FDO34_CHUKWUDI018,5981.669614294113
FDV28_CHUKWUDI010,273.3506561470789
NCF30_CHUKWUDI046,5329.30677476347
NCZ53_CHUKWUDI027,14415.981110670247
DRC01_CHUKWUDI013,2335.945147404592
FDO27_CHUKWUDI046,3737.487815990157
FDV55_CHUKWUDI046,6337.978692520113
FDV01_CHUKWUDI017,6398.527403063702
FDB45_CHUKWUDI046,4464.081751992756
FDF17_CHUKWUDI045,7813.268167186099
DRD60_CHUKWUDI035,8233.644991802923
FDV26_CHUKWUDI027,13035.000061970159
DRI03_CHUKWUDI027,10276.84593194399
FDA43_CHUKWUDI018,7034.204781234205
NCX54_CHUKWUDI046,4282.124521615332
FDX34_CHUKWUDI046,5020.8218362256885
FDX07_CHUKWUDI049,7836.756107073395
FDM45_CHUKWUDI013,4708.910105886913
NCY18_CHUKWUDI018,6558.443577434919
NCV54_CHUKWUDI019,1012.1751713103139
FDX47_CHUKWUDI017,6318.850087308524
FDT55_CHUKWUDI035,6503.763363675047
NCL18_CHUKWUDI035,7924.6579887712
DRL47_CHUKWUDI046,5462.633409512044
FDH44_CHUKWUDI017,6327.400721697009
FDS11_CHUKWUDI049,8288.436882403308
FDH27_CHUKWUDI046,5154.148470974263
NCK19_CHUKWUDI018,7145.598632063286
FDC57_CHUKWUDI035,7892.875964464473
FDT13_CHUKWUDI035,7963.196121168362
NCY18_CHUKWUDI046,7124.800767882371
NCS53_CHUKWUDI045,6749.472121668769
FDE08_CHUKWUDI010,1198.3949844856718
