Product_Supermarket_Identifier,Product_Supermarket_Sales
FDY57_CHUKWUDI013,3847.374198999726
FDY10_CHUKWUDI018,4512.204897078362
FDO40_CHUKWUDI018,5771.956551818713
NCQ43_CHUKWUDI018,4229.091908370315
NCC07_CHUKWUDI046,4687.719836492965
FDK27_CHUKWUDI019,997.6939422146887
DRJ39_CHUKWUDI027,16636.182781221116
FDZ16_CHUKWUDI035,7987.5793637827965
FDD21_CHUKWUDI018,4301.327906549661
FDQ12_CHUKWUDI019,2054.363869915921
FDH35_CHUKWUDI045,6672.407420750411
FDP51_CHUKWUDI018,4732.967221358447
FDD10_CHUKWUDI045,7496.288519457266
FDB23_CHUKWUDI045,9371.515667570176
FDK41_CHUKWUDI013,3209.849435004216
NCX18_CHUKWUDI035,7852.464131808185
FDO60_CHUKWUDI010,102.80262900608415
NCW29_CHUKWUDI013,5176.782224158261
DRD13_CHUKWUDI013,2799.3830173342567
FDU44_CHUKWUDI018,6007.999332962337
FDD09_CHUKWUDI018,6501.779591477059
NCO29_CHUKWUDI017,6611.981776544095
FDS57_CHUKWUDI017,5668.228886007865
FDW21_CHUKWUDI046,4417.04648305785
FDV26_CHUKWUDI019,1395.5616791954897
NCJ43_CHUKWUDI017,7126.808511675832
FDF34_CHUKWUDI017,7381.345264259591
FDK33_CHUKWUDI035,9127.566407252383
FDO34_CHUKWUDI027,10327.18955110756
FDE24_CHUKWUDI018,4953.5020302741295
NCR38_CHUKWUDI035,10228.053203887217
FDV21_CHUKWUDI010,1033.445404753592
DRL35_CHUKWUDI013,2579.355711835126
FDM39_CHUKWUDI018,6395.851137289711
DRH01_CHUKWUDI045,7434.704908041559
FDX34_CHUKWUDI049,4916.492757957751
DRB01_CHUKWUDI049,7788.567458207545
FDD05_CHUKWUDI046,5279.181125142658
FDN31_CHUKWUDI049,7835.928768456683
FDW12_CHUKWUDI027,9624.885211655199
FDO34_CHUKWUDI018,6169.062019584261
FDV28_CHUKWUDI010,130.43426837002073
NCF30_CHUKWUDI046,5211.3248203663
NCZ53_CHUKWUDI027,13307.160671083846
DRC01_CHUKWUDI013,2776.367325500242
FDO27_CHUKWUDI046,3804.7899841391304
FDV55_CHUKWUDI046,6391.460795715001
FDV01_CHUKWUDI017,6517.369640822817
