Product_Supermarket_Identifier,Product_Supermarket_Sales
FDY57_CHUKWUDI013,3840.190649947205
FDY10_CHUKWUDI018,4667.605430006104
FDO40_CHUKWUDI018,5911.041240805911
NCQ43_CHUKWUDI018,4315.7248229950865
NCC07_CHUKWUDI046,4562.3981414744885
FDK27_CHUKWUDI019,1104.4097427181523
DRJ39_CHUKWUDI027,15995.832793870732
FDZ16_CHUKWUDI035,8032.369631768509
FDD21_CHUKWUDI018,4337.712227559322
FDQ12_CHUKWUDI019,1976.3258813979064
FDH35_CHUKWUDI045,6592.23512981596
FDP51_CHUKWUDI018,4857.4423300745575
FDD10_CHUKWUDI045,7629.445789754093
FDB23_CHUKWUDI045,9204.497185917924
FDK41_CHUKWUDI013,3138.9288659635718
NCX18_CHUKWUDI035,8006.249200269736
FDO60_CHUKWUDI010,152.96280647367735
NCW29_CHUKWUDI013,5031.071338968189
DRD13_CHUKWUDI013,2740.0304827855857
FDU44_CHUKWUDI018,6259.661488725232
FDD09_CHUKWUDI018,6961.201237822622
NCO29_CHUKWUDI017,6501.733111176949
FDS57_CHUKWUDI017,5580.023495366436
FDW21_CHUKWUDI046,4249.708707417018
FDV26_CHUKWUDI019,1406.9811915967011
NCJ43_CHUKWUDI017,7047.6981461559735
FDF34_CHUKWUDI017,7567.191241467862
FDK33_CHUKWUDI035,9279.808308247142
FDO34_CHUKWUDI027,9672.188455369509
FDE24_CHUKWUDI018,5096.666356196001
NCR38_CHUKWUDI035,10546.86257993082
FDV21_CHUKWUDI010,960.1109595277557
DRL35_CHUKWUDI013,2492.807998764436
FDM39_CHUKWUDI018,6664.453115406212
DRH01_CHUKWUDI045,7431.204442775066
FDX34_CHUKWUDI049,4956.553569815982
DRB01_CHUKWUDI049,8025.319396227944
FDD05_CHUKWUDI046,5424.989998119749
FDN31_CHUKWUDI049,7771.394228179967
FDW12_CHUKWUDI027,9744.348819106464
FDO34_CHUKWUDI018,6192.374332792251
FDV28_CHUKWUDI010,179.08323797245043
NCF30_CHUKWUDI046,5244.669677195428
NCZ53_CHUKWUDI027,12504.687753243208
DRC01_CHUKWUDI013,2518.928430263209
FDO27_CHUKWUDI046,3748.22619025698
FDV55_CHUKWUDI046,6304.920757860307
FDV01_CHUKWUDI017,6543.546252332915
FDB45_CHUKWUDI046,4487.037117210427
FDF17_CHUKWUDI045,7508.064435636824
DRD60_CHUKWUDI035,8484.75422558784
FDV26_CHUKWUDI027,13185.766404218115
DRI03_CHUKWUDI027,10320.657833796982
FDA43_CHUKWUDI018,7212.593045865439
NCX54_CHUKWUDI046,3995.9346324592025
FDX34_CHUKWUDI046,4956.553569815982
FDX07_CHUKWUDI049,7854.776896847864
FDM45_CHUKWUDI013,4639.40874107858
NCY18_CHUKWUDI018,6586.072452202672
NCV54_CHUKWUDI019,1085.7721505698012
FDX47_CHUKWUDI017,6337.867161921332
FDT55_CHUKWUDI035,6667.043620458284
NCL18_CHUKWUDI035,8006.249200269736
DRL47_CHUKWUDI046,5402.985591804213
FDH44_CHUKWUDI017,6379.35208704091
FDS11_CHUKWUDI049,8524.0841109758
FDH27_CHUKWUDI046,5041.39933980037
NCK19_CHUKWUDI018,7227.658089327459
FDC57_CHUKWUDI035,7975.107394599385
FDT13_CHUKWUDI035,8006.249200269736
NCY18_CHUKWUDI046,7028.002953733231
NCS53_CHUKWUDI045,6742.168691600411
FDE08_CHUKWUDI010,1219.994657073844
FDY38_CHUKWUDI045,10236.35674875311
FDJ55_CHUKWUDI035,9398.600064361242
FDJ36_CHUKWUDI010,920.2800696676509
FDO12_CHUKWUDI049,7771.394228179967
FDX21_CHUKWUDI018,4018.9767005786753
DRD49_CHUKWUDI035,10011.980849121488
DRE13_CHUKWUDI013,3071.2162530973346
NCF07_CHUKWUDI046,4223.588275918245
NCO17_CHUKWUDI049,4686.075359584281
FDR55_CHUKWUDI045,8087.7013379193595
FDF40_CHUKWUDI027,14554.629466619379
FDP10_CHUKWUDI013,4193.049871922421
NCR41_CHUKWUDI049,4117.154271612076
DRK37_CHUKWUDI027,11853.58327311312
FDV03_CHUKWUDI013,6075.235406097916
FDN57_CHUKWUDI046,5402.985591804213
DRE12_CHUKWUDI013,4342.810099348106
FDV37_CHUKWUDI035,7793.356919460746
FDF56_CHUKWUDI027,11307.118680438853
DRJ49_CHUKWUDI018,4799.918233779592
FDJ46_CHUKWUDI027,10773.01425004411
FDC21_CHUKWUDI010,893.2333878139107
FDK21_CHUKWUDI035,9348.88304545291
FDT32_CHUKWUDI017,7821.501219139017
FDN56_CHUKWUDI035,6198.637835051915
FDS52_CHUKWUDI010,844.57488483921
NCU42_CHUKWUDI045,6644.038964975353
NCN07_CHUKWUDI046,5460.247828973337
NCG30_CHUKWUDI046,5315.492472127485
