Product_Supermarket_Identifier,Product_Supermarket_Sales
FDY57_CHUKWUDI013,4037.506349783732
FDY10_CHUKWUDI018,4608.09318939061
FDO40_CHUKWUDI018,5897.114940533174
NCQ43_CHUKWUDI018,4210.05754636379
NCC07_CHUKWUDI046,4556.138411807035
FDK27_CHUKWUDI019,941.4250661318409
DRJ39_CHUKWUDI027,14386.598627606561
FDZ16_CHUKWUDI035,7913.039588651892
FDD21_CHUKWUDI018,4319.4461744300415
FDQ12_CHUKWUDI019,1882.9024276466312
FDH35_CHUKWUDI045,6651.288596983407
FDP51_CHUKWUDI018,4782.311696195274
FDD10_CHUKWUDI045,7413.467284306318
FDB23_CHUKWUDI045,8999.54414889274
FDK41_CHUKWUDI013,3245.2873040177124
NCX18_CHUKWUDI035,7957.314974917252
FDO60_CHUKWUDI010,128.65168416873723
NCW29_CHUKWUDI013,5026.249587422452
DRD13_CHUKWUDI013,2507.5869466558947
FDU44_CHUKWUDI018,6221.180572405512
FDD09_CHUKWUDI018,6928.721112669915
NCO29_CHUKWUDI017,6628.094534335288
FDS57_CHUKWUDI017,5624.622459761176
FDW21_CHUKWUDI046,4239.473600515071
FDV26_CHUKWUDI019,1455.6915657778884
NCJ43_CHUKWUDI017,7428.094556392442
FDF34_CHUKWUDI017,7844.926839367091
FDK33_CHUKWUDI035,9132.7257037374
FDO34_CHUKWUDI027,9624.082967478635
FDE24_CHUKWUDI018,5157.941606393783
NCR38_CHUKWUDI035,10113.069397887302
FDV21_CHUKWUDI010,914.0915765769001
DRL35_CHUKWUDI013,2312.154801930517
FDM39_CHUKWUDI018,6946.396633142752
DRH01_CHUKWUDI045,7413.467284306318
FDX34_CHUKWUDI049,4929.829638087522
DRB01_CHUKWUDI049,7958.687527047656
FDD05_CHUKWUDI046,5269.970061302248
FDN31_CHUKWUDI049,7664.747600952054
FDW12_CHUKWUDI027,9023.46792972696
FDO34_CHUKWUDI018,6122.267039081644
FDV28_CHUKWUDI010,224.8474303971152
NCF30_CHUKWUDI046,5219.955898559888
NCZ53_CHUKWUDI027,13967.52120949255
DRC01_CHUKWUDI013,2360.800680906276
FDO27_CHUKWUDI046,3830.5814861941367
FDV55_CHUKWUDI046,6332.077018313967
FDV01_CHUKWUDI017,6480.774645493446
FDB45_CHUKWUDI046,4501.500264748526
FDF17_CHUKWUDI045,7542.624774744989
DRD60_CHUKWUDI035,7858.401441593383
FDV26_CHUKWUDI027,12678.68246236031
DRI03_CHUKWUDI027,10186.319385650168
FDA43_CHUKWUDI018,7166.0455994004105
NCX54_CHUKWUDI046,4352.446743876929
FDX34_CHUKWUDI046,4929.829638087522
FDX07_CHUKWUDI049,7675.110361745203
FDM45_CHUKWUDI013,4628.243448167136
NCY18_CHUKWUDI018,6959.745421023567
NCV54_CHUKWUDI019,941.8556720349538
FDX47_CHUKWUDI017,6426.702651655078
FDT55_CHUKWUDI035,6614.281631486016
NCL18_CHUKWUDI035,7913.039588651892
DRL47_CHUKWUDI046,5446.24750457454
FDH44_CHUKWUDI017,6426.1364984349375
FDS11_CHUKWUDI049,8538.974900101783
FDH27_CHUKWUDI046,5131.160425050823
NCK19_CHUKWUDI018,7373.758504013793
FDC57_CHUKWUDI035,7858.401441593383
FDT13_CHUKWUDI035,7957.314974917252
NCY18_CHUKWUDI046,7279.396929212963
NCS53_CHUKWUDI045,6750.202130307275
FDE08_CHUKWUDI010,1260.7942686233175
FDY38_CHUKWUDI045,10092.87900865982
FDJ55_CHUKWUDI035,9133.051134885312
FDJ36_CHUKWUDI010,1018.6322316288989
FDO12_CHUKWUDI049,7620.472214686694
FDX21_CHUKWUDI018,4105.498701015052
DRD49_CHUKWUDI035,9984.857506874578
DRE13_CHUKWUDI013,3037.32188710682
NCF07_CHUKWUDI046,4167.4845289664045
NCO17_CHUKWUDI049,4735.025188855639
FDR55_CHUKWUDI045,7868.083375190042
FDF40_CHUKWUDI027,14932.72676099958
FDP10_CHUKWUDI013,4340.986814428909
NCR41_CHUKWUDI049,4154.430655675759
DRK37_CHUKWUDI027,11819.695658046421
FDV03_CHUKWUDI013,6012.425510124571
FDN57_CHUKWUDI046,5446.24750457454
DRE12_CHUKWUDI013,4395.99027594129
FDV37_CHUKWUDI035,8047.393227379683
FDF56_CHUKWUDI027,11182.522156790956
DRJ49_CHUKWUDI018,4770.219557683734
FDJ46_CHUKWUDI027,11063.739889852228
FDC21_CHUKWUDI010,917.296280958004
FDK21_CHUKWUDI035,9411.632331128298
FDT32_CHUKWUDI017,7823.807988924682
FDN56_CHUKWUDI035,6297.230909238448
FDS52_CHUKWUDI010,866.6337268108289
NCU42_CHUKWUDI045,6628.094534335288
NCN07_CHUKWUDI046,5500.885651633048
NCG30_CHUKWUDI046,5324.608208360756
NCL54_CHUKWUDI027,11372.391400220606
FDZ26_CHUKWUDI035,10039.495653933085
FDX25_CHUKWUDI046,7675.110361745203
FDT21_CHUKWUDI017,8292.74328290783
FDN56_CHUKWUDI045,6207.999309511238
NCB42_CHUKWUDI013,4538.741874953649
FDA21_CHUKWUDI049,7664.747600952054
FDY55_CHUKWUDI035,10113.069397887302
NCS30_CHUKWUDI018,4938.850529247454
FDI20_CHUKWUDI027,13997.605476337325
FDT01_CHUKWUDI045,9142.407637334058
NCJ05_CHUKWUDI046,6332.077018313967
FDW04_CHUKWUDI045,5371.230528503921
FDW23_CHUKWUDI013,2449.6399073365874
FDS57_CHUKWUDI046,6332.077018313967
FDM12_CHUKWUDI017,7769.169841866174
FDI34_CHUKWUDI035,10127.472461328523
FDQ28_CHUKWUDI027,10259.033219924826
FDI02_CHUKWUDI046,4555.278568143371
NCX53_CHUKWUDI013,5181.234143443652
DRF27_CHUKWUDI017,6296.112761465089
FDR39_CHUKWUDI046,7675.110361745203
FDU26_CHUKWUDI017,5368.653525739367
FDK08_CHUKWUDI049,4154.135741085589
FDD47_CHUKWUDI049,7562.828745575467
FDO34_CHUKWUDI010,1213.965947080338
FDY12_CHUKWUDI013,2384.2929618071353
FDS11_CHUKWUDI035,8915.872060462701
FDA47_CHUKWUDI017,6573.456387276779
FDM08_CHUKWUDI045,8879.53462091126
