Product_Supermarket_Identifier,Product_Supermarket_Sales
FDY57_CHUKWUDI013,2131.56
FDY10_CHUKWUDI018,3872.626
FDO40_CHUKWUDI018,5177.926
NCQ43_CHUKWUDI018,3715.496
NCC07_CHUKWUDI046,2350.608
FDK27_CHUKWUDI019,2848.2940000000003
DRJ39_CHUKWUDI027,14167.891999999998
FDZ16_CHUKWUDI035,6737.896000000001
FDD21_CHUKWUDI018,4841.697999999999
FDQ12_CHUKWUDI019,10584.89
FDH35_CHUKWUDI045,5448.242
FDP51_CHUKWUDI018,6115.0380000000005
FDD10_CHUKWUDI045,5408.294
FDB23_CHUKWUDI045,10898.480000000001
FDK41_CHUKWUDI013,4226.5019999999995
NCX18_CHUKWUDI035,3604.9740000000006
FDO60_CHUKWUDI010,2575.98
NCW29_CHUKWUDI013,7950.317999999999
DRD13_CHUKWUDI013,1823.6239999999998
FDU44_CHUKWUDI018,4551.408
FDD09_CHUKWUDI018,7195.967999999999
NCO29_CHUKWUDI017,5490.186
FDS57_CHUKWUDI017,6503.866
FDW21_CHUKWUDI046,4370.646
FDV26_CHUKWUDI019,9766.954000000002
NCJ43_CHUKWUDI017,4414.254
FDF34_CHUKWUDI017,9185.708000000002
FDK33_CHUKWUDI035,9436.052
FDO34_CHUKWUDI027,8052.5160000000005
FDE24_CHUKWUDI018,6429.964
NCR38_CHUKWUDI035,7960.972
FDV21_CHUKWUDI010,5911.308
DRL35_CHUKWUDI013,374.514
FDM39_CHUKWUDI018,7739.262
DRH01_CHUKWUDI045,5455.2300000000005
FDX34_CHUKWUDI049,3034.718
DRB01_CHUKWUDI049,6293.808
FDD05_CHUKWUDI046,4321.376
FDN31_CHUKWUDI049,8857.806
FDW12_CHUKWUDI027,6086.744
FDO34_CHUKWUDI018,8216.970000000001
FDV28_CHUKWUDI010,639.17
NCF30_CHUKWUDI046,3395.5800000000004
NCZ53_CHUKWUDI027,5942.932
DRC01_CHUKWUDI013,1569.956
FDO27_CHUKWUDI046,3428.202
FDV55_CHUKWUDI046,5979.219999999999
FDV01_CHUKWUDI017,6361.719999999999
FDB45_CHUKWUDI046,3400.2400000000002
FDF17_CHUKWUDI045,9185.708
DRD60_CHUKWUDI035,6489.219999999999
FDV26_CHUKWUDI027,9766.954000000002
DRI03_CHUKWUDI027,7103.42
FDA43_CHUKWUDI018,7498.572
NCX54_CHUKWUDI046,2877.256
FDX34_CHUKWUDI046,3281.7300000000005
FDX07_CHUKWUDI049,7202.626000000001
FDM45_CHUKWUDI013,4955.882
NCY18_CHUKWUDI018,8471.306
NCV54_CHUKWUDI019,3908.5800000000004
FDX47_CHUKWUDI017,7294.503999999999
FDT55_CHUKWUDI035,6864.066000000001
NCL18_CHUKWUDI035,6209.918
DRL47_CHUKWUDI046,5810.433999999999
FDH44_CHUKWUDI017,4647.95
FDS11_CHUKWUDI049,8096.7919999999995
FDH27_CHUKWUDI046,3016.742
NCK19_CHUKWUDI018,6209.918
FDC57_CHUKWUDI035,4896.625999999999
FDT13_CHUKWUDI035,5779.143999999999
NCY18_CHUKWUDI046,8954.344000000001
NCS53_CHUKWUDI045,6184.616
FDE08_CHUKWUDI010,4012.778
FDY38_CHUKWUDI045,10266.638
FDJ55_CHUKWUDI035,11251.686
FDJ36_CHUKWUDI010,4122.634
FDO12_CHUKWUDI049,7297.168000000001
FDX21_CHUKWUDI018,2416.19
DRD49_CHUKWUDI035,9865.158
DRE13_CHUKWUDI013,2108.922
NCF07_CHUKWUDI046,1951.128
NCO17_CHUKWUDI049,3601.978
FDR55_CHUKWUDI045,10843.883999999998
FDF40_CHUKWUDI027,8305.856
FDP10_CHUKWUDI013,2537.698
NCR41_CHUKWUDI049,3982.816
DRK37_CHUKWUDI027,6410.324
FDV03_CHUKWUDI013,7697.9800000000005
FDN57_CHUKWUDI046,6333.088000000001
DRE12_CHUKWUDI013,4873.658
FDV37_CHUKWUDI035,9141.1
FDF56_CHUKWUDI027,6903.68
DRJ49_CHUKWUDI018,3528.0740000000005
FDJ46_CHUKWUDI027,4251.134
FDC21_CHUKWUDI010,4000.46
FDK21_CHUKWUDI035,10319.234
FDT32_CHUKWUDI017,5291.4439999999995
FDN56_CHUKWUDI035,7151.356
FDS52_CHUKWUDI010,3255.7599999999998
NCU42_CHUKWUDI045,10300.923999999999
NCN07_CHUKWUDI046,4020.7660000000005
NCG30_CHUKWUDI046,2872.9260000000004
NCL54_CHUKWUDI027,5925.2880000000005
FDZ26_CHUKWUDI035,19930.39
FDX25_CHUKWUDI046,7400.036
FDT21_CHUKWUDI017,12330.615999999998
FDN56_CHUKWUDI045,7078.7840000000015
NCB42_CHUKWUDI013,4404.2660000000005
FDA21_CHUKWUDI049,8181.354000000001
FDY55_CHUKWUDI035,6868.394
NCS30_CHUKWUDI018,5242.844
FDI20_CHUKWUDI027,11662.82
FDT01_CHUKWUDI045,5892.664
NCJ05_CHUKWUDI046,5963.906
FDW04_CHUKWUDI045,4551.74
FDW23_CHUKWUDI013,756.348
FDS57_CHUKWUDI046,6555.134
FDM12_CHUKWUDI017,4900.955999999999
FDI34_CHUKWUDI035,11927.14
FDQ28_CHUKWUDI027,6694.2880000000005
FDI02_CHUKWUDI046,3351.304
NCX53_CHUKWUDI013,6484.893999999999
DRF27_CHUKWUDI017,2832.982
FDR39_CHUKWUDI046,13112.932
FDU26_CHUKWUDI017,2708.142
FDK08_CHUKWUDI049,4490.1539999999995
FDD47_CHUKWUDI049,8046.857999999998
FDO34_CHUKWUDI010,7970.290000000001
FDY12_CHUKWUDI013,555.608
FDS11_CHUKWUDI035,8096.7919999999995
FDA47_CHUKWUDI017,6221.572
FDM08_CHUKWUDI045,7473.272
FDJ53_CHUKWUDI046,4208.188
FDC44_CHUKWUDI017,4218.176000000001
NCM43_CHUKWUDI018,7434.3240000000005
FDY44_CHUKWUDI018,11074.588
FDI41_CHUKWUDI035,5664.958
FDH17_CHUKWUDI046,3620.6220000000003
NCQ38_CHUKWUDI049,3960.178
FDB22_CHUKWUDI045,6792.825999999999
FDP37_CHUKWUDI019,5431.928
NCQ50_CHUKWUDI049,10533.288
FDA49_CHUKWUDI010,2330.302
FDC51_CHUKWUDI049,2450.812
FDQ32_CHUKWUDI046,4617.987999999999
NCX41_CHUKWUDI045,8208.316
FDD40_CHUKWUDI049,8399.732
FDG12_CHUKWUDI017,4007.7840000000006
FDR52_CHUKWUDI035,10843.884
FDA52_CHUKWUDI045,8998.288
DRE60_CHUKWUDI019,10582.89
DRN37_CHUKWUDI049,4906.280000000001
FDI09_CHUKWUDI045,10887.826
FDW07_CHUKWUDI010,3072.334
FDG12_CHUKWUDI019,4007.7840000000006
FDN01_CHUKWUDI045,7404.364
FDB53_CHUKWUDI049,5195.571999999999
FDM46_CHUKWUDI046,2569.3219999999997
FDG33_CHUKWUDI017,5153.2919999999995
FDC22_CHUKWUDI049,6722.581999999999
DRN47_CHUKWUDI027,7370.408
FDP52_CHUKWUDI027,11850.242000000002
FDY08_CHUKWUDI010,5756.505999999999
FDQ21_CHUKWUDI013,5335.718
NCN06_CHUKWUDI010,7212.611999999999
FDG53_CHUKWUDI013,3998.13
NCJ54_CHUKWUDI027,12690.48
NCF54_CHUKWUDI045,6429.298
FDA50_CHUKWUDI010,2378.906
FDV45_CHUKWUDI045,9384.45
NCH55_CHUKWUDI018,3858.314
FDX21_CHUKWUDI046,1772.3619999999999
DRH37_CHUKWUDI013,5548.114
FDX38_CHUKWUDI013,628.5120000000001
FDT21_CHUKWUDI035,10720.378
FDW25_CHUKWUDI013,3072.334
NCL29_CHUKWUDI046,6677.976
FDR31_CHUKWUDI027,8675.707999999999
FDC34_CHUKWUDI019,6006.182000000001
FDK50_CHUKWUDI017,7064.138000000001
DRI25_CHUKWUDI013,1272.01
FDN15_CHUKWUDI049,5642.656
NCX54_CHUKWUDI010,2877.256
FDF10_CHUKWUDI049,6131.0199999999995
NCS06_CHUKWUDI019,7960.972
NCT41_CHUKWUDI046,4657.271999999999
FDB14_CHUKWUDI010,3065.0119999999997
NCQ30_CHUKWUDI049,4098.998
FDU01_CHUKWUDI017,6056.1140000000005
FDW19_CHUKWUDI018,3851.656
FDS43_CHUKWUDI045,6710.264
NCP18_CHUKWUDI018,7078.12
DRE60_CHUKWUDI045,10582.89
FDY28_CHUKWUDI017,8461.985999999999
DRG01_CHUKWUDI013,2121.904
FDF50_CHUKWUDI035,6992.898000000001
FDQ10_CHUKWUDI027,6203.594
FDS12_CHUKWUDI013,6220.57
FDF16_CHUKWUDI017,4588.028
NCK29_CHUKWUDI010,3666.8940000000002
FDD50_CHUKWUDI027,7082.45
NCO42_CHUKWUDI035,4200.866
FDQ24_CHUKWUDI045,14694.874
NCL18_CHUKWUDI018,6209.918
FDS12_CHUKWUDI010,6220.57
FDF10_CHUKWUDI045,5199.232
NCQ30_CHUKWUDI010,4416.918
FDV46_CHUKWUDI019,5682.272
NCJ43_CHUKWUDI027,4414.254
NCK18_CHUKWUDI049,7210.95
FDL46_CHUKWUDI018,3991.8059999999996
FDZ25_CHUKWUDI027,5212.217999999999
FDE51_CHUKWUDI010,1004.6940000000001
FDU40_CHUKWUDI046,6059.446000000001
FDK25_CHUKWUDI017,8368.772
FDO52_CHUKWUDI046,9125.122
FDM03_CHUKWUDI018,2808.01
FDR01_CHUKWUDI045,8216.972
FDA27_CHUKWUDI045,11909.498000000001
FDX47_CHUKWUDI018,7294.503999999999
DRC36_CHUKWUDI046,7732.601999999999
