Product_Identifier,Supermarket_Identifier,Product_Supermarket_Identifier,Product_Weight,Product_Fat_Content,Product_Shelf_Visibility,Product_Type,Product_Price,Supermarket_Opening_Year,Supermarket _Size,Supermarket_Location_Type,Supermarket_Type,Average_Price_per_ProductType,Product_Supermarket_Sales
NCA29,CHUKWUDI046,NCA29_CHUKWUDI046,10.5,Low Fat,0.02727641,Household,428.28,2004,Small,Cluster 1,Supermarket Type1,399.9994179894175,8983.31
FDG53,CHUKWUDI049,FDG53_CHUKWUDI049,10.0,Low Fat,0.045928229,Frozen Foods,345.3,2006,Medium,Cluster 1,Supermarket Type1,388.07109409190423,4893.63
NCN05,CHUKWUDI045,NCN05_CHUKWUDI045,8.235,Low Fat,0.014488997,Health and Hygiene,459.49,2009,,Cluster 2,Supermarket Type1,367.1430293159605,7323.8
NCV17,CHUKWUDI046,NCV17_CHUKWUDI046,18.85,Low Fat,0.016107549,Health and Hygiene,324.41,2004,Small,Cluster 1,Supermarket Type1,367.1430293159605,7541.85
FDK03,CHUKWUDI045,FDK03_CHUKWUDI045,12.6,Normal Fat,0.07407035099999999,Dairy,635.59,2009,,Cluster 2,Supermarket Type1,409.5043428571421,11445.1
FDV02,CHUKWUDI027,FDV02_CHUKWUDI027,,Low Fat,0.060252433,Dairy,426.78,1992,Medium,Cluster 3,Supermarket Type3,409.5043428571421,7699.98
FDF17,CHUKWUDI017,FDF17_CHUKWUDI017,5.19,Low Fat,0.042861968,Frozen Foods,492.03,2014,,Cluster 2,Supermarket Type1,388.07109409190423,9329.52
FDA26,CHUKWUDI019,FDA26_CHUKWUDI019,,Normal Fat,0.129425145,Dairy,548.37,1992,Small,Cluster 1,Grocery Store,409.5043428571421,547.62
FDZ09,CHUKWUDI049,FDZ09_CHUKWUDI049,17.6,Low Fat,0.105042025,Snack Foods,409.72,2006,Medium,Cluster 1,Supermarket Type1,395.3521899736158,7779.87
FDL08,CHUKWUDI027,FDL08_CHUKWUDI027,,Low Fat,0.049478259000000004,Fruits and Vegetables,613.54,1992,Medium,Cluster 3,Supermarket Type3,398.2481124497989,9188.04
FDW20,CHUKWUDI010,FDW20_CHUKWUDI010,20.75,Low Fat,0.040421193,Fruits and Vegetables,305.43,2005,,Cluster 3,Grocery Store,398.2481124497989,923.8
FDX44,CHUKWUDI013,FDX44_CHUKWUDI013,9.3,Low Fat,0.042930789000000004,Fruits and Vegetables,221.29,1994,High,Cluster 3,Supermarket Type1,398.2481124497989,3568.69
NCI29,CHUKWUDI017,NCI29_CHUKWUDI017,8.6,Low Fat,0.032806066,Health and Hygiene,359.04,2014,,Cluster 2,Supermarket Type1,367.1430293159605,5318.08
FDZ10,CHUKWUDI013,FDZ10_CHUKWUDI013,17.85,Low Fat,0.04442649,Snack Foods,312.26,1994,High,Cluster 3,Supermarket Type1,395.3521899736158,4743.83
FDN44,CHUKWUDI017,FDN44_CHUKWUDI017,13.15,Ultra Low fat,0.022924552,Fruits and Vegetables,394.73,2014,,Cluster 2,Supermarket Type1,398.2481124497989,4793.76
FDO58,CHUKWUDI018,FDO58_CHUKWUDI018,19.6,Low Fat,0.039738393,Snack Foods,409.38,2016,Medium,Cluster 3,Supermarket Type2,395.3521899736158,7400.37
FDW27,CHUKWUDI046,FDW27_CHUKWUDI046,5.86,Normal Fat,0.15085330800000002,Meat,390.08,2004,Small,Cluster 1,Supermarket Type1,390.9528030303029,5041.77
FDK58,CHUKWUDI049,FDK58_CHUKWUDI049,11.35,Normal Fat,0.045052492,Snack Foods,256.5,2006,Medium,Cluster 1,Supermarket Type1,395.3521899736158,7843.12
FDO33,CHUKWUDI018,FDO33_CHUKWUDI018,14.75,Low Fat,0.089686322,Snack Foods,288.38,2016,Medium,Cluster 3,Supermarket Type2,395.3521899736158,4554.07
FDV04,CHUKWUDI046,FDV04_CHUKWUDI046,7.825,Normal Fat,0.150015234,Frozen Foods,393.82,2004,Small,Cluster 1,Supermarket Type1,388.07109409190423,2356.93
NCI42,CHUKWUDI018,NCI42_CHUKWUDI018,18.75,Low Fat,0.01040777,Household,523.74,2016,Medium,Cluster 3,Supermarket Type2,399.9994179894175,6251.86
FDQ39,CHUKWUDI046,FDQ39_CHUKWUDI046,14.8,Low Fat,0.081042136,Meat,481.21,2004,Small,Cluster 1,Supermarket Type1,390.9528030303029,12898.21
FDR37,CHUKWUDI035,FDR37_CHUKWUDI035,16.5,Normal Fat,0.066237024,Breakfast,457.82,2011,Small,Cluster 2,Supermarket Type1,395.34833333333324,15962.56
DRE49,CHUKWUDI045,DRE49_CHUKWUDI045,20.75,Low Fat,0.021293097,Soft Drinks,379.76,2009,,Cluster 2,Supermarket Type1,386.99823754789264,6831.11
FDY25,CHUKWUDI018,FDY25_CHUKWUDI018,12.0,Low Fat,0.034112832999999995,Canned,450.49,2016,Medium,Cluster 3,Supermarket Type2,391.7176329787233,9960.37
FDF21,CHUKWUDI027,FDF21_CHUKWUDI027,,Normal Fat,0.058542509000000006,Fruits and Vegetables,470.88,1992,Medium,Cluster 3,Supermarket Type3,398.2481124497989,10910.8
NCB43,CHUKWUDI027,NCB43_CHUKWUDI027,,Low Fat,0.099428487,Household,469.72,1992,Medium,Cluster 3,Supermarket Type3,399.9994179894175,18241.26
FDY15,CHUKWUDI049,FDY15_CHUKWUDI049,18.25,Normal Fat,0.171093639,Dairy,389.16,2006,Medium,Cluster 1,Supermarket Type1,409.5043428571421,5085.05
DRG13,CHUKWUDI018,DRG13_CHUKWUDI018,17.25,Low Fat,0.037337632,Soft Drinks,409.38,2016,Medium,Cluster 3,Supermarket Type2,386.99823754789264,8222.63
FDR59,CHUKWUDI017,FDR59_CHUKWUDI017,14.5,Normal Fat,0.064224789,Breads,656.9,2014,,Cluster 2,Supermarket Type1,399.1672262773725,17662.01
DRG51,CHUKWUDI046,DRG51_CHUKWUDI046,12.1,Low Fat,0.011539622,Dairy,408.88,2004,Small,Cluster 1,Supermarket Type1,409.5043428571421,5755.84
FDC37,CHUKWUDI049,FDC37_CHUKWUDI049,15.5,Low Fat,0.032924463,Baking Goods,268.23,2006,Medium,Cluster 1,Supermarket Type1,364.91892441860455,5359.69
FDE58,CHUKWUDI049,FDE58_CHUKWUDI049,18.5,Low Fat,0.052149675,Snack Foods,295.78,2006,Medium,Cluster 1,Supermarket Type1,395.3521899736158,3851.65
FDA43,CHUKWUDI027,FDA43_CHUKWUDI027,,Low Fat,0.064362554,Fruits and Vegetables,484.45,1992,Medium,Cluster 3,Supermarket Type3,398.2481124497989,12192.46
FDT50,CHUKWUDI049,FDT50_CHUKWUDI049,6.75,Normal Fat,0.0,Dairy,241.94,2006,Medium,Cluster 1,Supermarket Type1,409.5043428571421,3355.63
FDU45,CHUKWUDI046,FDU45_CHUKWUDI046,15.6,Normal Fat,0.035506142000000004,Snack Foods,281.13,2004,Small,Cluster 1,Supermarket Type1,395.3521899736158,8254.26
NCT41,CHUKWUDI045,NCT41_CHUKWUDI045,15.7,Low Fat,0.05610384,Health and Hygiene,383.76,2009,,Cluster 2,Supermarket Type1,367.1430293159605,6451.6
FDW01,CHUKWUDI013,FDW01_CHUKWUDI013,14.5,Ultra Low fat,0.0,Canned,386.17,1994,High,Cluster 3,Supermarket Type1,391.7176329787233,3811.71
DRE49,CHUKWUDI013,DRE49_CHUKWUDI013,20.75,Low Fat,0.021232317999999997,Soft Drinks,377.76,1994,High,Cluster 3,Supermarket Type1,386.99823754789264,6072.1
FDT40,CHUKWUDI018,FDT40_CHUKWUDI018,5.985,Ultra Low fat,0.09618555599999999,Frozen Foods,317.92,2016,Medium,Cluster 3,Supermarket Type2,388.07109409190423,8901.75
FDD23,CHUKWUDI035,FDD23_CHUKWUDI035,9.5,Normal Fat,0.04867632400000001,Starchy Foods,469.47,2011,Small,Cluster 2,Supermarket Type1,421.2993827160495,5144.97
FDR51,CHUKWUDI027,FDR51_CHUKWUDI027,,Normal Fat,0.172629683,Meat,371.18,1992,Medium,Cluster 3,Supermarket Type3,390.9528030303029,9404.43
FDY13,CHUKWUDI013,FDY13_CHUKWUDI013,12.1,Low Fat,0.030102335,Canned,186.92,1994,High,Cluster 3,Supermarket Type1,391.7176329787233,5551.11
FDW55,CHUKWUDI035,FDW55_CHUKWUDI035,12.6,Normal Fat,0.0,Fruits and Vegetables,622.02,2011,Small,Cluster 2,Supermarket Type1,398.2481124497989,16808.12
NCQ42,CHUKWUDI013,NCQ42_CHUKWUDI013,20.35,Low Fat,0.039235527,Household,318.17,1994,High,Cluster 3,Supermarket Type1,399.9994179894175,2543.36
FDU47,CHUKWUDI010,FDU47_CHUKWUDI010,12.8,Normal Fat,0.190569038,Breads,346.96,2005,,Cluster 3,Grocery Store,399.1672262773725,702.42
FDN32,CHUKWUDI018,FDN32_CHUKWUDI018,17.5,Low Fat,0.015623753999999998,Fruits and Vegetables,456.57,2016,Medium,Cluster 3,Supermarket Type2,398.2481124497989,7838.13
NCL31,CHUKWUDI049,NCL31_CHUKWUDI049,7.39,Ultra Low fat,0.12046799400000001,Others,362.87,2006,Medium,Cluster 1,Supermarket Type1,388.6077000000003,13241.1
