Product_Supermarket_Identifier,Product_Supermarket_Sales
FDY57_CHUKWUDI013,3927.401
FDY10_CHUKWUDI018,4514.662
FDO40_CHUKWUDI018,5810.7017
NCQ43_CHUKWUDI018,4157.0757
NCC07_CHUKWUDI046,4426.4
FDK27_CHUKWUDI019,866.12885
DRJ39_CHUKWUDI027,14024.6875
FDZ16_CHUKWUDI035,7812.33
FDD21_CHUKWUDI018,4170.247
FDQ12_CHUKWUDI019,1798.4241
FDH35_CHUKWUDI045,6608.2495
FDP51_CHUKWUDI018,4649.36
FDD10_CHUKWUDI045,7369.4463
FDB23_CHUKWUDI045,9015.144
FDK41_CHUKWUDI013,3074.7332
NCX18_CHUKWUDI035,7851.733
FDO60_CHUKWUDI010,69.06501
NCW29_CHUKWUDI013,4928.5728
DRD13_CHUKWUDI013,2420.9775
FDU44_CHUKWUDI018,6171.463
FDD09_CHUKWUDI018,6825.013
NCO29_CHUKWUDI017,6523.8823
FDS57_CHUKWUDI017,5541.585
FDW21_CHUKWUDI046,4156.6997
FDV26_CHUKWUDI019,1307.2705
NCJ43_CHUKWUDI017,7318.008
FDF34_CHUKWUDI017,7659.3457
FDK33_CHUKWUDI035,9071.029
FDO34_CHUKWUDI027,9553.752
FDE24_CHUKWUDI018,5041.3423
NCR38_CHUKWUDI035,9986.649
FDV21_CHUKWUDI010,915.5578
DRL35_CHUKWUDI013,2261.7202
FDM39_CHUKWUDI018,6784.0347
DRH01_CHUKWUDI045,7312.825
FDX34_CHUKWUDI049,4896.1387
DRB01_CHUKWUDI049,8054.356
FDD05_CHUKWUDI046,5178.529
FDN31_CHUKWUDI049,7587.0454
FDW12_CHUKWUDI027,8832.762
FDO34_CHUKWUDI018,6081.034
FDV28_CHUKWUDI010,129.03632
NCF30_CHUKWUDI046,5113.638
NCZ53_CHUKWUDI027,13062.784
DRC01_CHUKWUDI013,2261.7202
FDO27_CHUKWUDI046,3775.723
FDV55_CHUKWUDI046,6229.208
FDV01_CHUKWUDI017,6388.9424
FDB45_CHUKWUDI046,4375.374
FDF17_CHUKWUDI045,7679.218
