Product_Supermarket_Identifier,Product_Supermarket_Sales
FDY57_CHUKWUDI013,3770.115
FDY10_CHUKWUDI018,4738.1787
FDO40_CHUKWUDI018,5231.8374
NCQ43_CHUKWUDI018,3793.5085
NCC07_CHUKWUDI046,4867.846
FDK27_CHUKWUDI019,1282.2296
DRJ39_CHUKWUDI027,12561.205
FDZ16_CHUKWUDI035,7454.474
FDD21_CHUKWUDI018,4541.7646
FDQ12_CHUKWUDI019,1450.5715
FDH35_CHUKWUDI045,5999.5317
FDP51_CHUKWUDI018,5083.1064
FDD10_CHUKWUDI045,6459.9805
FDB23_CHUKWUDI045,7026.204
FDK41_CHUKWUDI013,3402.943
NCX18_CHUKWUDI035,8617.04
FDO60_CHUKWUDI010,6.021334
NCW29_CHUKWUDI013,5056.2695
DRD13_CHUKWUDI013,2027.2482
FDU44_CHUKWUDI018,6663.5786
FDD09_CHUKWUDI018,8100.5786
NCO29_CHUKWUDI017,7205.497
FDS57_CHUKWUDI017,5756.898
FDW21_CHUKWUDI046,3532.91
FDV26_CHUKWUDI019,695.5248
NCJ43_CHUKWUDI017,6947.0977
FDF34_CHUKWUDI017,8044.5913
FDK33_CHUKWUDI035,9792.132
FDO34_CHUKWUDI027,11066.974
FDE24_CHUKWUDI018,5166.001
NCR38_CHUKWUDI035,9685.223
FDV21_CHUKWUDI010,1102.3477
DRL35_CHUKWUDI013,1501.2249
FDM39_CHUKWUDI018,6190.1777
DRH01_CHUKWUDI045,6983.185
FDX34_CHUKWUDI049,4729.7666
DRB01_CHUKWUDI049,7644.0186
FDD05_CHUKWUDI046,5055.041
FDN31_CHUKWUDI049,8706.446
FDW12_CHUKWUDI027,8312.568
FDO34_CHUKWUDI018,5697.556
FDV28_CHUKWUDI010,263.9571
NCF30_CHUKWUDI046,4502.1045
NCZ53_CHUKWUDI027,11221.452
DRC01_CHUKWUDI013,1203.2872
FDO27_CHUKWUDI046,3296.6013
FDV55_CHUKWUDI046,5774.525
FDV01_CHUKWUDI017,6235.0825
FDB45_CHUKWUDI046,4272.1963
FDF17_CHUKWUDI045,6816.7666
DRD60_CHUKWUDI035,7401.06
FDV26_CHUKWUDI027,11287.783
DRI03_CHUKWUDI027,8685.218
FDA43_CHUKWUDI018,8921.188
NCX54_CHUKWUDI046,4768.25
FDX34_CHUKWUDI046,5004.438
FDX07_CHUKWUDI049,6876.948
FDM45_CHUKWUDI013,4085.6746
NCY18_CHUKWUDI018,7270.055
NCV54_CHUKWUDI019,818.0906
FDX47_CHUKWUDI017,6137.034
FDT55_CHUKWUDI035,7167.4985
