Product_Supermarket_Identifier,Product_Supermarket_Sales
FDY57_CHUKWUDI013,3839.295394072313
FDY10_CHUKWUDI018,4449.580664744301
FDO40_CHUKWUDI018,5985.347303350653
NCQ43_CHUKWUDI018,4106.054689841431
NCC07_CHUKWUDI046,4352.071979705824
FDK27_CHUKWUDI019,1388.342128714281
DRJ39_CHUKWUDI027,13993.50475347208
FDZ16_CHUKWUDI035,8101.5165053706805
FDD21_CHUKWUDI018,4413.0888026595085
FDQ12_CHUKWUDI019,2104.807533764785
FDH35_CHUKWUDI045,6567.825368027246
FDP51_CHUKWUDI018,4875.3919457143775
FDD10_CHUKWUDI045,7679.898241417305
FDB23_CHUKWUDI045,8865.170043987384
FDK41_CHUKWUDI013,3160.6324692742933
NCX18_CHUKWUDI035,7846.940996036844
FDO60_CHUKWUDI010,-22.081996483220205
NCW29_CHUKWUDI013,4750.64576123569
DRD13_CHUKWUDI013,2657.1540159281562
FDU44_CHUKWUDI018,6140.133346778223
FDD09_CHUKWUDI018,6983.223910339601
NCO29_CHUKWUDI017,6543.317772596028
FDS57_CHUKWUDI017,5458.690708440835
FDW21_CHUKWUDI046,3984.6829622203313
FDV26_CHUKWUDI019,1269.772373895609
NCJ43_CHUKWUDI017,7390.772671936556
FDF34_CHUKWUDI017,7810.916016607957
FDK33_CHUKWUDI035,8959.949868528645
FDO34_CHUKWUDI027,10202.262286874793
FDE24_CHUKWUDI018,5072.158080461606
NCR38_CHUKWUDI035,10022.047315477941
FDV21_CHUKWUDI010,1200.738762693242
DRL35_CHUKWUDI013,2598.505441973066
FDM39_CHUKWUDI018,6791.3390359736
DRH01_CHUKWUDI045,7626.574694371181
FDX34_CHUKWUDI049,4943.653046517844
DRB01_CHUKWUDI049,7726.17838810044
FDD05_CHUKWUDI046,4989.4718136722995
FDN31_CHUKWUDI049,7776.0553980457635
FDW12_CHUKWUDI027,9554.581580143991
FDO34_CHUKWUDI018,6149.687061059444
FDV28_CHUKWUDI010,-22.919475945225525
NCF30_CHUKWUDI046,5062.246684394259
NCZ53_CHUKWUDI027,13182.290490942252
DRC01_CHUKWUDI013,2608.7082120784535
FDO27_CHUKWUDI046,3775.099395315643
FDV55_CHUKWUDI046,6118.490119293941
FDV01_CHUKWUDI017,6460.891356245378
FDB45_CHUKWUDI046,4309.832950872896
FDF17_CHUKWUDI045,7753.067275267247
DRD60_CHUKWUDI035,7997.085517030857
FDV26_CHUKWUDI027,13121.614473717571
DRI03_CHUKWUDI027,10768.710248933408
FDA43_CHUKWUDI018,7094.602908655624
NCX54_CHUKWUDI046,4182.271755160527
FDX34_CHUKWUDI046,4735.165989470023
FDX07_CHUKWUDI049,7737.684869838385
FDM45_CHUKWUDI013,4448.0982507089875
NCY18_CHUKWUDI018,6857.72660124024
NCV54_CHUKWUDI019,1346.3277201821843
FDX47_CHUKWUDI017,6428.269296926202
FDT55_CHUKWUDI035,6670.613824310192
NCL18_CHUKWUDI035,7962.533978680523
DRL47_CHUKWUDI046,5237.821656954815
FDH44_CHUKWUDI017,6505.561195427502
FDS11_CHUKWUDI049,8840.077836293602
FDH27_CHUKWUDI046,4967.386440989739
NCK19_CHUKWUDI018,7012.558791998621
FDC57_CHUKWUDI035,7928.489751190194
FDT13_CHUKWUDI035,8002.540374032596
NCY18_CHUKWUDI046,7094.741233025107
NCS53_CHUKWUDI045,6761.677244877897
FDE08_CHUKWUDI010,1098.5407958013236
FDY38_CHUKWUDI045,10338.958016194942
FDJ55_CHUKWUDI035,9545.584974308507
FDJ36_CHUKWUDI010,799.9038111573632
FDO12_CHUKWUDI049,7808.500177580313
FDX21_CHUKWUDI018,4105.371159293347
DRD49_CHUKWUDI035,9933.513848924968
DRE13_CHUKWUDI013,3088.4362895532763
NCF07_CHUKWUDI046,4070.8654229349427
NCO17_CHUKWUDI049,4766.2813241148015
FDR55_CHUKWUDI045,7958.102112555246
FDF40_CHUKWUDI027,15277.752509825545
FDP10_CHUKWUDI013,4173.237481325912
NCR41_CHUKWUDI049,4170.350836364862
DRK37_CHUKWUDI027,12601.497756770856
FDV03_CHUKWUDI013,5832.156905226271
FDN57_CHUKWUDI046,5178.544888526395
DRE12_CHUKWUDI013,4107.312516161195
FDV37_CHUKWUDI035,7997.614270206283
FDF56_CHUKWUDI027,11936.886891711794
DRJ49_CHUKWUDI018,4846.229129429353
FDJ46_CHUKWUDI027,11488.321349286174
FDC21_CHUKWUDI010,854.1057813947891
FDK21_CHUKWUDI035,9895.743958957342
FDT32_CHUKWUDI017,8001.227429520271
FDN56_CHUKWUDI035,6345.927743672725
FDS52_CHUKWUDI010,615.947842219469
NCU42_CHUKWUDI045,6538.173776508517
NCN07_CHUKWUDI046,5266.170763621168
NCG30_CHUKWUDI046,5081.143969037764
NCL54_CHUKWUDI027,11495.524532523734
FDZ26_CHUKWUDI035,10065.826081533349
FDX25_CHUKWUDI046,7556.076649460946
FDT21_CHUKWUDI017,9331.351299093612
FDN56_CHUKWUDI045,6326.6961476349925
NCB42_CHUKWUDI013,4290.078797854967
FDA21_CHUKWUDI049,7759.610950414601
FDY55_CHUKWUDI035,10074.335997712997
NCS30_CHUKWUDI018,4891.091454031186
FDI20_CHUKWUDI027,14059.774218694387
FDT01_CHUKWUDI045,9083.76808141006
NCJ05_CHUKWUDI046,6181.723164439055
FDW04_CHUKWUDI045,5383.0279879918335
FDW23_CHUKWUDI013,2650.1709908519056
FDS57_CHUKWUDI046,6208.165899111038
FDM12_CHUKWUDI017,8091.21167425517
FDI34_CHUKWUDI035,10102.253452078889
FDQ28_CHUKWUDI027,9888.901378568544
FDI02_CHUKWUDI046,4459.024526296587
NCX53_CHUKWUDI013,4900.1298449567585
DRF27_CHUKWUDI017,6370.166758713755
FDR39_CHUKWUDI046,7419.532630292357
FDU26_CHUKWUDI017,5403.905284046364
FDK08_CHUKWUDI049,4196.324694998665
FDD47_CHUKWUDI049,7358.547198853744
FDO34_CHUKWUDI010,1161.8241086101064
FDY12_CHUKWUDI013,2611.5098750624716
FDS11_CHUKWUDI035,9036.586903056797
FDA47_CHUKWUDI017,6596.101342617704
FDM08_CHUKWUDI045,9208.680347813419
FDJ53_CHUKWUDI046,4835.41750412972
FDC44_CHUKWUDI017,4818.721698819419
NCM43_CHUKWUDI018,6189.319568796374
FDY44_CHUKWUDI018,7338.117239025574
FDI41_CHUKWUDI035,6470.478194180466
FDH17_CHUKWUDI046,4000.453598259425
NCQ38_CHUKWUDI049,4332.97217897107
FDB22_CHUKWUDI045,6381.338713127773
FDP37_CHUKWUDI019,1442.316554081098
NCQ50_CHUKWUDI049,8693.852574782743
FDA49_CHUKWUDI010,266.494013283726
FDC51_CHUKWUDI049,5064.151352564211
FDQ32_CHUKWUDI046,5021.279629939921
NCX41_CHUKWUDI045,8932.198103867602
FDD40_CHUKWUDI049,7690.046985752725
FDG12_CHUKWUDI017,5078.358005034267
FDR52_CHUKWUDI035,8030.835916394488
FDA52_CHUKWUDI045,7644.11211099074
DRE60_CHUKWUDI019,1270.9857841170517
DRN37_CHUKWUDI049,6289.897900712528
FDI09_CHUKWUDI045,9172.568195616926
FDW07_CHUKWUDI010,260.52405608682596
FDG12_CHUKWUDI019,1410.525232695624
FDN01_CHUKWUDI045,7483.949650662183
FDB53_CHUKWUDI049,6300.095623474736
FDM46_CHUKWUDI046,3745.089555923707
FDG33_CHUKWUDI017,7462.251259638385
FDC22_CHUKWUDI049,7527.978098729266
DRN47_CHUKWUDI027,11042.45188020295
FDP52_CHUKWUDI027,15791.410735232128
FDY08_CHUKWUDI010,1287.7209786772946
FDQ21_CHUKWUDI013,4651.651532932702
NCN06_CHUKWUDI010,1132.6173584505777
FDG53_CHUKWUDI013,4749.7755060022255
NCJ54_CHUKWUDI027,15809.220124068166
NCF54_CHUKWUDI045,6926.218734576077
FDA50_CHUKWUDI010,513.4748537969593
FDV45_CHUKWUDI045,7966.293654873251
NCH55_CHUKWUDI018,5035.468805090216
FDX21_CHUKWUDI046,4301.82436331781
DRH37_CHUKWUDI013,5964.912625796719
FDX38_CHUKWUDI013,2564.3689326875156
FDT21_CHUKWUDI035,9283.177766630584
FDW25_CHUKWUDI013,3112.864294394591
NCL29_CHUKWUDI046,6200.56679858193
FDR31_CHUKWUDI027,9849.129639387256
FDC34_CHUKWUDI019,1238.535868744675
FDK50_CHUKWUDI017,6389.789368998628
DRI25_CHUKWUDI013,2687.5900417346033
FDN15_CHUKWUDI049,5403.300089470255
NCX54_CHUKWUDI010,758.5675750521883
FDF10_CHUKWUDI049,6383.794770829256
NCS06_CHUKWUDI019,2168.651860384641
NCT41_CHUKWUDI046,6200.094466485877
FDB14_CHUKWUDI010,422.4801227321568
NCQ30_CHUKWUDI049,4895.463969842002
FDU01_CHUKWUDI017,7900.917261381751
FDW19_CHUKWUDI018,4269.259053721086
FDS43_CHUKWUDI045,7977.115475576538
NCP18_CHUKWUDI018,5876.576955048023
DRE60_CHUKWUDI045,9067.178181799232
FDY28_CHUKWUDI017,8743.108562639596
DRG01_CHUKWUDI013,2818.884483681389
FDF50_CHUKWUDI035,7816.326618975751
FDQ10_CHUKWUDI027,10355.402231146285
FDS12_CHUKWUDI013,4677.716204043184
FDF16_CHUKWUDI017,6405.586384158086
NCK29_CHUKWUDI010,1172.8906656438746
FDD50_CHUKWUDI027,10065.865395060147
NCO42_CHUKWUDI035,6618.844363103687
FDQ24_CHUKWUDI045,10189.526890150077
NCL18_CHUKWUDI018,7125.314317589383
FDS12_CHUKWUDI010,1294.0839389020805
FDF10_CHUKWUDI045,6533.889404031791
NCQ30_CHUKWUDI010,1121.3500724785501
FDV46_CHUKWUDI019,1538.4861999586462
NCJ43_CHUKWUDI027,11494.592810317057
NCK18_CHUKWUDI049,6389.748964150327
FDL46_CHUKWUDI018,4503.6336199769075
FDZ25_CHUKWUDI027,10242.407195766918
FDE51_CHUKWUDI010,-17.882242441508556
FDU40_CHUKWUDI046,7435.910930055549
FDK25_CHUKWUDI017,6690.558671580681
FDO52_CHUKWUDI046,7228.744474922437
FDM03_CHUKWUDI018,4127.76089422163
FDR01_CHUKWUDI045,7874.09449056158
FDA27_CHUKWUDI045,9411.727168050495
FDX47_CHUKWUDI018,6054.403021024675
DRC36_CHUKWUDI046,7325.6783835477145
FDO40_CHUKWUDI027,9844.320574792051
DRM37_CHUKWUDI027,13734.558224748673
FDR10_CHUKWUDI013,5977.6554109717445
FDP08_CHUKWUDI049,7753.627764351426
FDH56_CHUKWUDI010,875.1941585737541
FDQ40_CHUKWUDI017,7663.252380656811
FDT40_CHUKWUDI017,5108.147742693482
FDE28_CHUKWUDI019,1841.3966440509412
NCZ18_CHUKWUDI045,9711.280695799871
NCI29_CHUKWUDI049,5201.090982751767
FDI32_CHUKWUDI010,921.1476852111651
FDV13_CHUKWUDI013,3265.489348461599
NCA06_CHUKWUDI013,2637.329530003836
FDY19_CHUKWUDI013,4345.031788259233
NCJ43_CHUKWUDI010,1240.4673552405657
FDG04_CHUKWUDI045,7881.436215593604
FDC29_CHUKWUDI046,4479.142574872461
FDJ04_CHUKWUDI046,4713.029800120367
NCE07_CHUKWUDI035,5390.163413772857
FDB09_CHUKWUDI046,5022.865566960936
FDY47_CHUKWUDI010,1279.3129289504534
DRH36_CHUKWUDI013,2852.522900552934
FDC10_CHUKWUDI049,5029.868863421664
FDX49_CHUKWUDI027,15948.372218472208
FDW08_CHUKWUDI018,4017.2828784536923
FDA31_CHUKWUDI018,7035.958144932541
FDY40_CHUKWUDI013,2625.3242994061115
FDT31_CHUKWUDI017,7753.671469096083
FDZ10_CHUKWUDI046,5205.2711699899155
FDG31_CHUKWUDI010,33.38086983777762
FDR26_CHUKWUDI045,7440.046099066261
FDK02_CHUKWUDI049,5051.693998338
NCQ41_CHUKWUDI018,7149.5162922835
FDX19_CHUKWUDI017,10168.918456578464
FDI46_CHUKWUDI045,10064.570386009407
FDY57_CHUKWUDI049,4149.583672740945
